IQ-TREE multicore version 1.6.12 for Mac OS X 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    Ewans-MacBook-Air.local (AVX2, FMA3, 8 GB RAM)
Command: /Applications/iqtree-1.6.12/bin/iqtree -s /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus -o Day0
Seed:    813579 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Apr  9 17:48:52 2024
Kernel:  AVX+FMA - 1 threads (4 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 4 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /Users/ewansmith/Documents/PhD/Rotation_1_Illingworth/illingworth_rotation/data/CAMP002274/IQTree/CAMP002274.nexus ... Nexus format detected
Alignment has 4 sequences with 29903 columns, 24 distinct patterns
865 parsimony-informative, 9262 singleton sites, 19776 constant sites
       Gap/Ambiguity  Composition  p-value
   1  Day0     0.00%    failed      0.00%
   2  Day12    0.00%    failed      0.00%
   3  Day21    0.00%    failed      0.00%
   4  Day31    0.00%    failed      0.00%
****  TOTAL    0.00%  4 sequences failed composition chi2 test (p-value<5%; df=19)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.005 seconds
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 546 protein models (sample size: 29903) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  Dayhoff       138095.479   5   276200.958   276200.960   276242.486
  2  Dayhoff+I     137374.483   6   274760.966   274760.969   274810.801
  3  Dayhoff+G4    137465.046   6   274942.092   274942.094   274991.926
  4  Dayhoff+I+G4  137374.773   7   274763.545   274763.549   274821.685
  5  Dayhoff+R2    137497.199   7   275008.399   275008.403   275066.539
  6  Dayhoff+R3    137430.113   9   274878.226   274878.232   274952.978
  7  Dayhoff+R4    137407.844   11  274837.688   274837.697   274929.051
  8  Dayhoff+R5    137400.844   13  274827.688   274827.700   274935.662
 14  Dayhoff+F     92226.908    24  184501.816   184501.856   184701.153
 15  Dayhoff+F+I   89039.714    25  178129.429   178129.472   178337.071
 16  Dayhoff+F+G4  89221.668    25  178493.336   178493.379   178700.978
 17  Dayhoff+F+I+G4 89016.088    26  178084.176   178084.223   178300.125
 18  Dayhoff+F+R2  90138.804    26  180329.607   180329.654   180545.556
 19  Dayhoff+F+R3  89652.160    28  179360.320   179360.374   179592.880
 20  Dayhoff+F+R4  89335.950    30  178731.899   178731.961   178981.071
 21  Dayhoff+F+R5  89267.165    32  178598.331   178598.402   178864.114
 22  Dayhoff+F+R6  89212.956    34  178493.912   178493.991   178776.306
 23  Dayhoff+F+R7  89199.615    36  178471.230   178471.319   178770.236
 24  Dayhoff+F+R8  89199.615    38  178475.229   178475.328   178790.846
 27  mtMAM         154357.125   5   308724.249   308724.251   308765.778
 28  mtMAM+I       148502.819   6   297017.637   297017.640   297067.471
 29  mtMAM+G4      149972.259   6   299956.517   299956.520   300006.352
 30  mtMAM+I+G4    148504.554   7   297023.107   297023.111   297081.247
 31  mtMAM+R2      150612.367   7   301238.734   301238.738   301296.874
 32  mtMAM+R3      149761.791   9   299541.583   299541.589   299616.334
 33  mtMAM+R4      148944.964   11  297911.928   297911.937   298003.291
 34  mtMAM+R5      148909.724   13  297845.448   297845.461   297953.423
 35  mtMAM+R6      148889.528   15  297809.056   297809.072   297933.642
 36  mtMAM+R7      148889.528   17  297813.056   297813.076   297954.253
 40  mtMAM+F       96001.154    24  192050.307   192050.347   192249.644
 41  mtMAM+F+I     90488.937    25  181027.875   181027.918   181235.518
 42  mtMAM+F+G4    92446.675    25  184943.350   184943.393   185150.993
 43  mtMAM+F+I+G4  90489.896    26  181031.792   181031.839   181247.740
 44  mtMAM+F+R2    93888.239    26  187828.478   187828.525   188044.426
 45  mtMAM+F+R3    92865.640    28  185787.280   185787.335   186019.840
 46  mtMAM+F+R4    91505.300    30  183070.600   183070.662   183319.771
 47  mtMAM+F+R5    91505.300    32  183074.599   183074.670   183340.382
 53  JTT           141798.292   5   283606.584   283606.586   283648.113
 54  JTT+I         141044.492   6   282100.983   282100.986   282150.818
 55  JTT+G4        141327.856   6   282667.711   282667.714   282717.546
 56  JTT+I+G4      141045.226   7   282104.451   282104.455   282162.591
 57  JTT+R2        141181.789   7   282377.577   282377.581   282435.717
 58  JTT+R3        141127.822   9   282273.644   282273.650   282348.396
 59  JTT+R4        141073.326   11  282168.653   282168.661   282260.015
 60  JTT+R5        141073.304   13  282172.608   282172.620   282280.582
 66  JTT+F         91098.484    24  182244.969   182245.009   182444.306
 67  JTT+F+I       88690.403    25  177430.807   177430.850   177638.450
 68  JTT+F+G4      89583.347    25  179216.694   179216.737   179424.337
 69  JTT+F+I+G4    88691.308    26  177434.615   177434.662   177650.564
 70  JTT+F+R2      89338.542    26  178729.084   178729.131   178945.033
 71  JTT+F+R3      89123.460    28  178302.921   178302.975   178535.481
 72  JTT+F+R4      88860.024    30  177780.048   177780.110   178029.219
 73  JTT+F+R5      88859.853    32  177783.706   177783.776   178049.488
 79  WAG           139839.741   5   279689.483   279689.485   279731.011
 80  WAG+I         139716.206   6   279444.411   279444.414   279494.245
 81  WAG+G4        139775.466   6   279562.932   279562.935   279612.767
 82  WAG+I+G4      139717.295   7   279448.590   279448.594   279506.730
 83  WAG+R2        139737.349   7   279488.698   279488.702   279546.838
 84  WAG+R3        139732.578   9   279483.156   279483.162   279557.908
 92  WAG+F         88585.500    24  177218.999   177219.040   177418.337
 93  WAG+F+I       88134.983    25  176319.965   176320.009   176527.608
 94  WAG+F+G4      88304.468    25  176658.936   176658.980   176866.579
 95  WAG+F+I+G4    88135.518    26  176323.035   176323.082   176538.984
 96  WAG+F+R2      88217.956    26  176487.912   176487.959   176703.861
 97  WAG+F+R3      88199.948    28  176455.895   176455.950   176688.455
 98  WAG+F+R4      88192.316    30  176444.632   176444.694   176693.803
105  cpREV         143706.415   5   287422.830   287422.832   287464.359
106  cpREV+I       143706.415   6   287424.831   287424.833   287474.665
107  cpREV+G4      143706.569   6   287425.137   287425.140   287474.972
108  cpREV+I+G4    143724.116   7   287462.232   287462.236   287520.372
109  cpREV+R2      143706.946   7   287427.892   287427.896   287486.032
110  cpREV+R3      143706.727   9   287431.454   287431.461   287506.206
118  cpREV+F       87685.329    24  175418.658   175418.698   175617.995
119  cpREV+F+I     87551.123    25  175152.246   175152.289   175359.888
120  cpREV+F+G4    87635.504    25  175321.008   175321.052   175528.651
121  cpREV+F+I+G4  87557.404    26  175166.809   175166.856   175382.757
122  cpREV+F+R2    87649.977    26  175351.955   175352.002   175567.903
123  cpREV+F+R3    87642.779    28  175341.557   175341.612   175574.117
131  mtREV         149515.579   5   299041.157   299041.159   299082.686
132  mtREV+I       147636.690   6   295285.380   295285.383   295335.214
133  mtREV+G4      148184.145   6   296380.290   296380.293   296430.125
134  mtREV+I+G4    147637.618   7   295289.235   295289.239   295347.375
135  mtREV+R2      148747.273   7   297508.546   297508.550   297566.686
136  mtREV+R3      148663.178   9   297344.357   297344.363   297419.108
137  mtREV+R4      147709.453   11  295440.906   295440.914   295532.268
138  mtREV+R5      147709.453   13  295444.906   295444.919   295552.881
144  mtREV+F       91932.116    24  183912.232   183912.272   184111.569
145  mtREV+F+I     89000.943    25  178051.886   178051.929   178259.529
146  mtREV+F+G4    90035.366    25  180120.732   180120.775   180328.374
147  mtREV+F+I+G4  89001.903    26  178055.806   178055.853   178271.755
148  mtREV+F+R2    90660.405    26  181372.810   181372.857   181588.759
149  mtREV+F+R3    90022.932    28  180101.864   180101.918   180334.424
150  mtREV+F+R4    89208.722    30  178477.444   178477.507   178726.616
151  mtREV+F+R5    89208.722    32  178481.444   178481.515   178747.227
157  rtREV         146638.689   5   293287.378   293287.380   293328.906
158  rtREV+I       146542.936   6   293097.872   293097.875   293147.707
159  rtREV+G4      146609.544   6   293231.087   293231.090   293280.922
160  rtREV+I+G4    146544.305   7   293102.610   293102.613   293160.750
161  rtREV+R2      146582.942   7   293179.884   293179.888   293238.024
162  rtREV+R3      146569.273   9   293156.547   293156.553   293231.298
163  rtREV+R4      146568.972   11  293159.944   293159.953   293251.307
170  rtREV+F       91042.679    24  182133.358   182133.398   182332.695
171  rtREV+F+I     88936.607    25  177923.215   177923.258   178130.858
172  rtREV+F+G4    89762.629    25  179575.257   179575.301   179782.900
173  rtREV+F+I+G4  88937.553    26  177927.107   177927.154   178143.055
174  rtREV+F+R2    89921.238    26  179894.475   179894.522   180110.424
175  rtREV+F+R3    89361.244    28  178778.489   178778.543   179011.049
176  rtREV+F+R4    89356.849    30  178773.698   178773.760   179022.869
183  mtART         154211.261   5   308432.522   308432.524   308474.051
184  mtART+I       150969.790   6   301951.579   301951.582   302001.413
185  mtART+G4      151901.372   6   303814.745   303814.747   303864.579
186  mtART+I+G4    150971.449   7   301956.898   301956.901   302015.038
187  mtART+R2      152019.932   7   304053.864   304053.867   304112.004
188  mtART+R3      151203.207   9   302424.414   302424.420   302499.166
189  mtART+R4      151199.496   11  302420.992   302421.001   302512.355
196  mtART+F       93237.715    24  186523.430   186523.470   186722.767
197  mtART+F+I     89745.110    25  179540.220   179540.263   179747.862
198  mtART+F+G4    90755.095    25  181560.189   181560.233   181767.832
199  mtART+F+I+G4  89745.761    26  179543.522   179543.569   179759.471
200  mtART+F+R2    90927.850    26  181907.701   181907.748   182123.649
201  mtART+F+R3    90012.291    28  180080.582   180080.636   180313.142
202  mtART+F+R4    90008.754    30  180077.508   180077.570   180326.679
209  mtZOA         153289.832   5   306589.664   306589.666   306631.193
210  mtZOA+I       150011.882   6   300035.764   300035.767   300085.598
211  mtZOA+G4      150945.383   6   301902.765   301902.768   301952.599
212  mtZOA+I+G4    150013.597   7   300041.194   300041.198   300099.334
213  mtZOA+R2      150864.979   7   301743.958   301743.962   301802.098
214  mtZOA+R3      150106.820   9   300231.640   300231.646   300306.391
215  mtZOA+R4      150105.477   11  300232.954   300232.962   300324.316
222  mtZOA+F       94979.773    24  190007.545   190007.586   190206.883
223  mtZOA+F+I     89963.762    25  179977.525   179977.568   180185.168
224  mtZOA+F+G4    91450.472    25  182950.944   182950.988   183158.587
225  mtZOA+F+I+G4  89905.989    26  179863.979   179864.026   180079.927
226  mtZOA+F+R2    91700.885    26  183453.770   183453.817   183669.718
227  mtZOA+F+R3    90266.349    28  180588.698   180588.753   180821.258
228  mtZOA+F+R4    90262.843    30  180585.686   180585.749   180834.858
235  VT            142868.900   5   285747.800   285747.802   285789.329
236  VT+I          142750.264   6   285512.529   285512.531   285562.363
237  VT+G4         142817.149   6   285646.299   285646.302   285696.133
238  VT+I+G4       142751.388   7   285516.776   285516.780   285574.916
239  VT+R2         142779.816   7   285573.632   285573.636   285631.772
240  VT+R3         142755.563   9   285529.125   285529.131   285603.877
241  VT+R4         142755.475   11  285532.951   285532.960   285624.314
248  VT+F          89267.311    24  178582.622   178582.662   178781.959
249  VT+F+I        88594.866    25  177239.731   177239.775   177447.374
250  VT+F+G4       88871.973    25  177793.947   177793.990   178001.589
251  VT+F+I+G4     88595.469    26  177242.938   177242.985   177458.886
252  VT+F+R2       88779.168    26  177610.335   177610.382   177826.284
253  VT+F+R3       88614.594    28  177285.188   177285.242   177517.748
254  VT+F+R4       88614.466    30  177288.932   177288.994   177538.103
261  LG            145930.078   5   291870.156   291870.158   291911.685
262  LG+I          145293.542   6   290599.084   290599.087   290648.918
263  LG+G4         145546.495   6   291104.990   291104.992   291154.824
264  LG+I+G4       145294.125   7   290602.251   290602.254   290660.391
265  LG+R2         145424.280   7   290862.561   290862.565   290920.701
266  LG+R3         145308.134   9   290634.268   290634.274   290709.019
267  LG+R4         145308.115   11  290638.230   290638.239   290729.593
274  LG+F          90663.259    24  181374.517   181374.557   181573.854
275  LG+F+I        89119.026    25  178288.053   178288.096   178495.696
276  LG+F+G4       89601.493    25  179252.987   179253.030   179460.630
277  LG+F+I+G4     89119.640    26  178291.281   178291.328   178507.229
278  LG+F+R2       89485.190    26  179022.380   179022.427   179238.328
279  LG+F+R3       89143.083    28  178342.166   178342.220   178574.726
280  LG+F+R4       89143.027    30  178346.055   178346.117   178595.226
287  DCMut         138087.307   5   276184.614   276184.616   276226.143
288  DCMut+I       137373.999   6   274759.998   274760.001   274809.833
289  DCMut+G4      137461.383   6   274934.765   274934.768   274984.600
290  DCMut+I+G4    137374.314   7   274762.628   274762.632   274820.768
291  DCMut+R2      137420.350   7   274854.699   274854.703   274912.839
292  DCMut+R3      137377.912   9   274773.825   274773.831   274848.576
293  DCMut+R4      137377.883   11  274777.765   274777.774   274869.128
300  DCMut+F       92203.226    24  184454.453   184454.493   184653.790
301  DCMut+F+I     89035.725    25  178121.451   178121.494   178329.094
302  DCMut+F+G4    89218.663    25  178487.325   178487.369   178694.968
303  DCMut+F+I+G4  89012.907    26  178077.814   178077.861   178293.763
304  DCMut+F+R2    89665.665    26  179383.330   179383.377   179599.278
305  DCMut+F+R3    89093.831    28  178243.662   178243.717   178476.222
306  DCMut+F+R4    89093.790    30  178247.579   178247.641   178496.751
313  PMB           140073.978   5   280157.956   280157.958   280199.485
314  PMB+I         140069.720   6   280151.440   280151.443   280201.275
315  PMB+G4        140074.004   6   280160.007   280160.010   280209.841
316  PMB+I+G4      140075.496   7   280164.991   280164.995   280223.131
317  PMB+R2        140076.700   7   280167.400   280167.404   280225.540
318  PMB+R3        140075.585   9   280169.170   280169.176   280243.921
326  PMB+F         87793.475    24  175634.950   175634.990   175834.287
327  PMB+F+I       87776.429    25  175602.859   175602.902   175810.502
328  PMB+F+G4      87792.916    25  175635.833   175635.876   175843.476
329  PMB+F+I+G4    87776.950    26  175605.901   175605.948   175821.849
330  PMB+F+R2      87792.207    26  175636.414   175636.461   175852.362
331  PMB+F+R3      87781.871    28  175619.742   175619.797   175852.302
332  PMB+F+R4      87780.476    30  175620.951   175621.013   175870.123
339  HIVb          148710.409   5   297430.818   297430.820   297472.346
340  HIVb+I        145205.793   6   290423.585   290423.588   290473.419
341  HIVb+G4       145825.860   6   291663.720   291663.723   291713.554
342  HIVb+I+G4     145206.642   7   290427.284   290427.288   290485.424
343  HIVb+R2       147543.910   7   295101.819   295101.823   295159.959
344  HIVb+R3       145467.038   9   290952.076   290952.082   291026.828
345  HIVb+R4       145322.926   11  290667.852   290667.861   290759.215
346  HIVb+R5       145290.688   13  290607.376   290607.388   290715.350
347  HIVb+R6       145290.688   15  290611.376   290611.392   290735.962
352  HIVb+F        93811.201    24  187670.403   187670.443   187869.740
353  HIVb+F+I      89563.916    25  179177.833   179177.876   179385.476
354  HIVb+F+G4     90240.200    25  180530.401   180530.444   180738.044
355  HIVb+F+I+G4   89564.147    26  179180.295   179180.342   179396.244
356  HIVb+F+R2     93127.983    26  186307.966   186308.013   186523.914
357  HIVb+F+R3     90623.065    28  181302.131   181302.185   181534.691
358  HIVb+F+R4     90187.276    30  180434.553   180434.615   180683.724
359  HIVb+F+R5     90083.395    32  180230.791   180230.861   180496.573
360  HIVb+F+R6     90007.104    34  180082.208   180082.287   180364.602
361  HIVb+F+R7     89948.757    36  179969.513   179969.603   180268.519
362  HIVb+F+R8     89902.954    38  179881.908   179882.007   180197.525
363  HIVb+F+R9     89866.158    40  179812.316   179812.426   180144.545
364  HIVb+F+R10    89836.358    42  179756.716   179756.837   180105.556
365  HIVw          143228.390   5   286466.779   286466.781   286508.308
366  HIVw+I        137460.400   6   274932.799   274932.802   274982.633
367  HIVw+G4       138343.968   6   276699.935   276699.938   276749.770
368  HIVw+I+G4     137460.619   7   274935.237   274935.241   274993.377
369  HIVw+R2       140007.194   7   280028.389   280028.393   280086.529
370  HIVw+R3       138057.394   9   276132.787   276132.793   276207.538
371  HIVw+R4       137833.485   11  275688.971   275688.980   275780.334
372  HIVw+R5       137774.538   13  275575.077   275575.089   275683.051
373  HIVw+R6       137730.310   15  275490.621   275490.637   275615.206
374  HIVw+R7       137696.129   17  275426.258   275426.279   275567.455
375  HIVw+R8       137669.071   19  275376.142   275376.167   275533.950
376  HIVw+R9       137647.141   21  275336.282   275336.313   275510.702
377  HIVw+R10      137629.282   23  275304.565   275304.602   275495.596
378  HIVw+F        94146.882    24  188341.763   188341.803   188541.100
379  HIVw+F+I      90051.573    25  180153.146   180153.189   180360.788
380  HIVw+F+G4     91375.450    25  182800.900   182800.943   183008.542
381  HIVw+F+I+G4   89866.252    26  179784.503   179784.550   180000.452
382  HIVw+F+R2     93899.834    26  187851.668   187851.715   188067.617
383  HIVw+F+R3     91920.781    28  183897.562   183897.617   184130.122
384  HIVw+F+R4     91405.579    30  182871.159   182871.221   183120.330
385  HIVw+F+R5     91250.745    32  182565.489   182565.560   182831.272
386  HIVw+F+R6     91127.405    34  182322.810   182322.890   182605.204
387  HIVw+F+R7     91027.205    36  182126.411   182126.500   182425.416
388  HIVw+F+R8     90944.354    38  181964.707   181964.806   182280.324
389  HIVw+F+R9     90874.578    40  181829.156   181829.266   182161.385
390  HIVw+F+R10    90815.784    42  181715.567   181715.688   182064.407
391  JTTDCMut      141523.533   5   283057.065   283057.067   283098.594
392  JTTDCMut+I    140782.874   6   281577.748   281577.751   281627.583
393  JTTDCMut+G4   141059.214   6   282130.428   282130.431   282180.263
394  JTTDCMut+I+G4 140783.578   7   281581.155   281581.159   281639.295
395  JTTDCMut+R2   141043.117   7   282100.234   282100.237   282158.374
396  JTTDCMut+R3   140807.209   9   281632.417   281632.423   281707.169
397  JTTDCMut+R4   140800.971   11  281623.943   281623.951   281715.305
404  JTTDCMut+F    91028.949    24  182105.899   182105.939   182305.236
405  JTTDCMut+F+I  88685.255    25  177420.510   177420.553   177628.152
406  JTTDCMut+F+G4 89538.284    25  179126.569   179126.612   179334.212
407  JTTDCMut+F+I+G4 88686.161    26  177424.321   177424.368   177640.270
408  JTTDCMut+F+R2 89678.665    26  179409.330   179409.377   179625.279
409  JTTDCMut+F+R3 88758.672    28  177573.343   177573.398   177805.903
410  JTTDCMut+F+R4 88740.227    30  177540.454   177540.516   177789.625
